id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
BUENOS AIRES_25 DE MAYO,"25 De Mayo, Buenos Aires",JUNTOS POR EL CAMBIO,1.46,4.41,32.17,29.9,32.05,351,1058,7709,7166,7681,79.0,31754,25085,3.69,0.18,0.6,925,45,BUENOS AIRES
BUENOS AIRES_9 DE JULIO,"9 De Julio, Buenos Aires",JUNTOS POR EL CAMBIO,2.19,5.33,33.97,31.07,27.44,720,1753,11177,10223,9028,78.38,43208,33867,2.2,0.03,0.62,746,10,BUENOS AIRES
BUENOS AIRES_ADOLFO ALSINA,"Adolfo Alsina, Buenos Aires",JUNTOS POR EL CAMBIO,1.65,5.86,33.5,33.46,25.53,169,599,3426,3422,2611,73.49,14505,10660,3.39,0.2,0.48,361,21,BUENOS AIRES
BUENOS AIRES_ADOLFO GONZALES CHAVES,"Adolfo Gonzales Chaves, Buenos Aires",UNION POR LA PATRIA,1.53,5.62,24.81,29.66,38.38,119,438,1934,2312,2991,76.65,10861,8325,5.3,0.22,0.86,441,18,BUENOS AIRES
BUENOS AIRES_ALBERTI,"Alberti, Buenos Aires",UNION POR LA PATRIA,1.61,4.66,29.7,28.54,35.49,123,356,2268,2179,2710,82.21,9648,7932,3.68,0.04,0.01,292,3,BUENOS AIRES
BUENOS AIRES_ALMIRANTE BROWN,"Almirante Brown, Buenos Aires",UNION POR LA PATRIA,4.42,3.55,18.36,23.11,50.55,15165,12191,63045,79349,173547,77.96,455602,355170,2.48,0.1,0.76,8821,343,BUENOS AIRES
BUENOS AIRES_ARRECIFES,"Arrecifes, Buenos Aires",UNION POR LA PATRIA,1.29,5.49,27.28,30.18,35.76,252,1073,5334,5902,6993,78.37,25892,20291,3.17,0.08,0.38,643,16,BUENOS AIRES
BUENOS AIRES_AVELLANEDA,"Avellaneda, Buenos Aires",UNION POR LA PATRIA,3.73,2.92,23.89,20.43,49.03,8370,6563,53651,45868,110106,78.56,294188,231114,2.21,0.16,0.47,5110,359,BUENOS AIRES
BUENOS AIRES_AYACUCHO,"Ayacucho, Buenos Aires",UNION POR LA PATRIA,2.22,6.49,31.8,27.09,32.39,297,868,4253,3623,4332,76.84,18436,14166,4.77,0.3,0.53,676,42,BUENOS AIRES
BUENOS AIRES_AZUL,"Azul, Buenos Aires",UNION POR LA PATRIA,2.55,6.54,27.16,30.45,33.31,1095,2807,11662,13076,14306,76.43,58570,44765,2.94,0.09,1.04,1316,39,BUENOS AIRES
BUENOS AIRES_BAHIA BLANCA,"Bahia Blanca, Buenos Aires",LA LIBERTAD AVANZA,3.99,4.47,29.93,32.97,28.63,7387,8270,55366,60996,52967,76.86,250524,192557,2.72,0.17,1.04,5242,321,BUENOS AIRES
BUENOS AIRES_BALCARCE,"Balcarce, Buenos Aires",LA LIBERTAD AVANZA,1.89,6.38,32.81,33.18,25.74,575,1942,9986,10100,7835,77.11,41068,31666,3.12,0.08,0.68,987,26,BUENOS AIRES
BUENOS AIRES_BARADERO,"Baradero, Buenos Aires",UNION POR LA PATRIA,1.97,5.35,19.88,27.06,45.74,453,1232,4576,6227,10528,77.78,31024,24131,3.64,0.21,0.77,879,51,BUENOS AIRES
BUENOS AIRES_BENITO JUAREZ,"Benito Juarez, Buenos Aires",UNION POR LA PATRIA,2.33,5.88,21.21,28.7,41.88,304,768,2770,3749,5471,79.67,17943,14296,7.96,0.15,0.52,1138,21,BUENOS AIRES
BUENOS AIRES_BERAZATEGUI,"Berazategui, Buenos Aires",UNION POR LA PATRIA,4.39,3.42,18.42,25.54,48.23,9382,7307,39351,54563,103047,80.79,273353,220842,2.59,0.16,0.52,5709,343,BUENOS AIRES
BUENOS AIRES_BERISSO,"Berisso, Buenos Aires",UNION POR LA PATRIA,3.71,3.26,21.9,22.93,48.2,2306,2028,13605,14244,29945,78.56,82044,64455,3.14,0.14,0.33,2022,93,BUENOS AIRES
BUENOS AIRES_BOLIVAR,"Bolivar, Buenos Aires",JUNTOS POR EL CAMBIO,1.91,4.32,32.5,28.83,32.44,461,1041,7832,6948,7817,79.81,31288,24970,2.79,0.19,0.51,696,48,BUENOS AIRES
BUENOS AIRES_BRAGADO,"Bragado, Buenos Aires",UNION POR LA PATRIA,1.62,5.83,29.96,28.13,34.46,450,1622,8341,7832,9593,77.66,37350,29006,3.19,0.12,0.72,926,34,BUENOS AIRES
BUENOS AIRES_BRANDSEN,"Brandsen, Buenos Aires",UNION POR LA PATRIA,1.88,4.52,28.03,28.57,37.0,387,931,5778,5890,7628,81.27,26459,21502,3.31,0.24,0.59,711,51,BUENOS AIRES
BUENOS AIRES_CAMPANA,"Campana, Buenos Aires",UNION POR LA PATRIA,3.23,3.37,30.38,26.37,36.65,2106,2199,19820,17199,23910,78.42,86701,67994,3.37,0.08,0.61,2291,51,BUENOS AIRES
BUENOS AIRES_CAPITAN SARMIENTO,"Capitan Sarmiento, Buenos Aires",LA LIBERTAD AVANZA,1.66,6.67,32.35,32.91,26.41,175,703,3408,3467,2783,81.01,13562,10986,3.75,0.04,0.31,412,4,BUENOS AIRES
BUENOS AIRES_CARLOS CASARES,"Carlos Casares, Buenos Aires",LA LIBERTAD AVANZA,2.0,5.02,27.3,34.41,31.28,303,761,4143,5221,4746,78.86,20142,15884,3.74,0.6,0.13,594,95,BUENOS AIRES
BUENOS AIRES_CARLOS TEJEDOR,"Carlos Tejedor, Buenos Aires",UNION POR LA PATRIA,1.79,4.2,30.67,22.11,41.22,148,347,2531,1825,3402,85.63,10189,8725,5.07,0.15,0.19,442,13,BUENOS AIRES
BUENOS AIRES_CARMEN DE ARECO,"Carmen De Areco, Buenos Aires",UNION POR LA PATRIA,1.23,5.34,25.44,30.45,37.54,133,576,2745,3285,4050,81.95,13815,11322,4.62,0.03,0.06,523,3,BUENOS AIRES
BUENOS AIRES_CASTELLI,"Castelli, Buenos Aires",UNION POR LA PATRIA,1.38,3.85,28.15,25.14,41.47,86,241,1760,1572,2593,81.98,7934,6504,3.15,0.15,0.57,205,10,BUENOS AIRES
BUENOS AIRES_CAÑUELAS,"Cañuelas, Buenos Aires",UNION POR LA PATRIA,3.48,3.77,21.09,28.47,43.19,1323,1431,8013,10819,16412,76.44,51303,39217,2.33,0.27,0.51,913,106,BUENOS AIRES
BUENOS AIRES_CHACABUCO,"Chacabuco, Buenos Aires",UNION POR LA PATRIA,2.22,5.82,23.58,29.57,38.81,765,2007,8128,10193,13379,82.36,43221,35596,2.3,0.18,0.68,818,63,BUENOS AIRES
BUENOS AIRES_CHASCOMUS,"Chascomus, Buenos Aires",JUNTOS POR EL CAMBIO,2.26,5.71,33.11,27.13,31.79,595,1503,8714,7139,8367,78.08,35319,27578,4.2,0.15,0.23,1157,40,BUENOS AIRES
