id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
BUENOS AIRES_PRESIDENTE PERON,"Presidente Peron, Buenos Aires",UNION POR LA PATRIA,4.47,0.34,0.37,1.26,18.66,31.49,0.46,0.02,0.64,0.58,0.49,1.19,0.02,0.02,39.98,1815,138,150,511,7572,12782,186,7,261,236,200,485,10,7,16226,64.82,70766,45868,10.54,0.07,0.9,4835,32,BUENOS AIRES
BUENOS AIRES_PUAN,"Puan, Buenos Aires",JUNTOS POR EL CAMBIO,1.78,0.0,0.21,1.71,50.47,30.0,0.26,0.35,0.56,0.2,0.2,1.34,0.0,0.0,12.9,166,0,20,160,4709,2799,24,33,52,19,19,125,0,0,1204,70.78,14360,10164,6.95,0.31,0.94,706,32,BUENOS AIRES
BUENOS AIRES_PUNTA INDIO,"Punta Indio, Buenos Aires",JUNTOS POR EL CAMBIO,1.45,0.25,0.15,1.09,39.09,25.81,0.26,0.14,0.23,0.18,0.11,0.54,0.17,0.14,30.38,94,16,10,71,2540,1677,17,9,15,12,7,35,11,9,1974,70.12,10253,7189,8.79,0.08,0.75,632,6,BUENOS AIRES
BUENOS AIRES_QUILMES,"Quilmes, Buenos Aires",UNION POR LA PATRIA,3.75,0.22,0.21,0.97,30.99,22.51,0.44,0.07,0.42,0.47,0.22,0.86,0.15,0.13,38.59,11345,676,631,2938,93811,68126,1335,217,1259,1421,679,2597,451,386,116809,68.66,476056,326855,6.61,0.22,0.56,21607,727,BUENOS AIRES
BUENOS AIRES_RAMALLO,"Ramallo, Buenos Aires",JUNTOS POR EL CAMBIO,1.27,0.26,0.2,0.99,40.21,23.4,0.15,0.19,0.23,0.13,0.12,0.44,0.37,0.0,32.02,259,52,41,201,8173,4756,31,39,46,27,25,90,76,0,6509,72.79,30933,22515,9.48,0.03,0.21,2135,7,BUENOS AIRES
BUENOS AIRES_RAUCH,"Rauch, Buenos Aires",JUNTOS POR EL CAMBIO,1.13,0.01,0.08,0.98,41.82,22.28,0.11,0.21,0.14,0.12,0.12,0.67,0.02,0.0,32.29,96,1,7,83,3538,1885,9,18,12,10,10,57,2,0,2732,67.6,14026,9482,10.27,0.32,0.19,974,30,BUENOS AIRES
BUENOS AIRES_RIVADAVIA,"Rivadavia, Buenos Aires",JUNTOS POR EL CAMBIO,0.55,0.31,0.06,1.12,43.15,26.5,0.08,0.23,0.15,0.09,0.04,0.28,0.05,0.0,27.38,51,29,6,104,4006,2460,7,21,14,8,4,26,5,0,2542,71.19,14714,10475,10.96,0.04,0.38,1148,4,BUENOS AIRES
BUENOS AIRES_ROJAS,"Rojas, Buenos Aires",JUNTOS POR EL CAMBIO,1.4,0.41,0.21,2.08,44.64,27.86,0.17,0.29,0.29,0.43,0.12,0.56,0.0,0.01,21.54,191,56,28,283,6087,3799,23,39,40,58,16,76,0,2,2937,72.57,20963,15212,9.47,0.18,0.72,1440,27,BUENOS AIRES
BUENOS AIRES_ROQUE PEREZ,"Roque Perez, Buenos Aires",JUNTOS POR EL CAMBIO,0.67,0.0,0.05,1.02,42.02,23.81,0.08,0.23,0.07,0.22,0.01,0.42,0.0,0.0,31.4,49,0,4,75,3090,1751,6,17,5,16,1,31,0,0,2309,77.01,11430,8802,15.62,0.2,0.62,1375,18,BUENOS AIRES
BUENOS AIRES_SAAVEDRA,"Saavedra, Buenos Aires",JUNTOS POR EL CAMBIO,1.17,0.01,0.19,1.8,41.0,34.18,0.33,0.31,0.25,0.29,0.12,0.66,0.0,0.02,19.68,126,1,20,194,4421,3685,36,33,27,31,13,71,0,2,2122,67.97,18454,12544,11.99,0.63,1.43,1504,79,BUENOS AIRES
BUENOS AIRES_SALADILLO,"Saladillo, Buenos Aires",JUNTOS POR EL CAMBIO,1.32,0.0,0.11,1.19,43.21,28.73,0.22,0.36,0.28,0.48,0.1,0.48,0.0,0.0,23.51,243,0,20,219,7935,5275,41,66,51,89,19,88,0,0,4317,69.54,29199,20304,8.29,0.19,1.08,1683,38,BUENOS AIRES
BUENOS AIRES_SALLIQUELO,"Salliquelo, Buenos Aires",JUNTOS POR EL CAMBIO,0.45,0.0,0.12,1.09,44.55,21.43,0.1,0.14,0.19,0.1,0.02,0.19,0.0,0.0,31.61,22,0,6,53,2166,1042,5,7,9,5,1,9,0,0,1537,67.84,7830,5312,7.3,0.73,0.43,388,39,BUENOS AIRES
BUENOS AIRES_SALTO,"Salto, Buenos Aires",LA LIBERTAD AVANZA,1.65,0.37,0.15,2.1,31.93,33.59,0.29,0.25,0.25,0.5,0.21,0.51,0.0,0.0,28.21,335,76,31,427,6495,6832,59,50,50,102,43,103,0,0,5739,72.19,30355,21914,7.03,0.0,0.14,1541,0,BUENOS AIRES
BUENOS AIRES_SAN ANDRES DE GILES,"San Andres De Giles, Buenos Aires",JUNTOS POR EL CAMBIO,1.36,0.91,0.24,1.33,35.16,29.56,0.27,0.41,0.26,1.06,0.21,0.65,0.0,0.0,28.59,179,119,31,175,4616,3881,35,54,34,139,27,85,0,0,3753,69.88,20759,14506,9.2,0.0,0.3,1335,0,BUENOS AIRES
BUENOS AIRES_SAN ANTONIO DE ARECO,"San Antonio De Areco, Buenos Aires",JUNTOS POR EL CAMBIO,3.02,0.51,0.09,1.59,40.58,27.0,0.24,0.2,0.26,0.51,0.15,0.4,0.01,0.0,25.45,408,69,12,215,5483,3648,32,27,35,69,20,54,2,0,3439,69.72,20928,14592,6.35,0.14,0.9,927,21,BUENOS AIRES
BUENOS AIRES_SAN CAYETANO,"San Cayetano, Buenos Aires",JUNTOS POR EL CAMBIO,0.53,0.0,0.1,0.94,52.63,26.63,0.07,0.17,0.12,0.17,0.02,0.72,0.0,0.0,17.9,22,0,4,39,2188,1107,3,7,5,7,1,30,0,0,744,60.5,7368,4458,6.48,0.22,0.04,289,10,BUENOS AIRES
BUENOS AIRES_SAN FERNANDO,"San Fernando, Buenos Aires",UNION POR LA PATRIA,3.06,0.1,0.15,0.81,31.36,26.14,0.32,0.05,0.33,0.79,0.23,0.87,0.19,0.11,35.48,2706,89,137,721,27756,23140,281,45,294,700,202,768,170,101,31411,69.81,135581,94644,5.99,0.13,0.35,5666,125,BUENOS AIRES
BUENOS AIRES_SAN ISIDRO,"San Isidro, Buenos Aires",JUNTOS POR EL CAMBIO,2.88,0.14,0.13,0.91,51.45,21.65,0.34,0.02,0.35,0.53,0.19,0.88,0.18,0.08,20.28,5308,265,236,1675,94681,39833,630,34,637,975,348,1614,323,143,37321,70.85,272157,192819,3.43,0.18,0.96,6610,339,BUENOS AIRES
BUENOS AIRES_SAN MIGUEL,"San Miguel, Buenos Aires",JUNTOS POR EL CAMBIO,3.64,0.23,0.18,0.75,34.3,26.37,0.42,0.08,0.37,0.31,0.22,0.64,0.21,0.07,32.22,5695,367,276,1181,53720,41298,650,127,575,479,351,1002,326,111,50464,68.87,244175,168156,5.85,0.16,0.85,9845,267,BUENOS AIRES
BUENOS AIRES_SAN NICOLAS,"San Nicolas, Buenos Aires",JUNTOS POR EL CAMBIO,2.89,0.49,0.24,1.28,35.0,29.77,0.3,0.26,0.33,0.47,0.18,1.21,0.03,0.0,27.55,2366,404,200,1047,28639,24357,245,215,269,383,147,987,23,3,22544,69.85,127779,89255,7.63,0.08,0.61,6812,69,BUENOS AIRES
BUENOS AIRES_SAN PEDRO,"San Pedro, Buenos Aires",LA LIBERTAD AVANZA,1.59,0.32,0.16,2.25,31.96,33.04,0.23,0.28,0.29,0.42,0.26,0.87,0.17,0.01,28.15,536,107,55,756,10759,11121,78,93,99,142,88,292,57,2,9477,67.5,54392,36712,7.4,0.11,0.79,2718,41,BUENOS AIRES
BUENOS AIRES_SAN VICENTE,"San Vicente, Buenos Aires",UNION POR LA PATRIA,2.3,0.05,0.24,0.92,22.79,27.87,0.45,0.27,0.34,0.34,0.19,1.07,0.06,0.2,42.91,882,19,93,353,8756,10708,171,103,131,130,74,410,24,78,16484,64.82,65158,42233,7.88,0.28,0.87,3330,120,BUENOS AIRES
BUENOS AIRES_SUIPACHA,"Suipacha, Buenos Aires",JUNTOS POR EL CAMBIO,0.84,0.21,0.06,1.04,37.05,25.86,0.06,0.13,0.06,0.05,0.08,0.39,0.16,0.1,33.9,52,13,4,64,2281,1592,4,8,4,3,5,24,10,6,2087,68.47,9856,6748,8.22,0.04,0.49,555,3,BUENOS AIRES
BUENOS AIRES_TANDIL,"Tandil, Buenos Aires",JUNTOS POR EL CAMBIO,2.1,0.25,0.19,2.21,40.73,27.49,0.32,0.25,0.4,0.33,0.19,1.05,0.39,0.03,24.08,1569,183,142,1651,30393,20512,241,187,299,243,139,783,289,25,17970,69.93,114862,80326,5.76,0.14,1.2,4628,111,BUENOS AIRES
BUENOS AIRES_TAPALQUE,"Tapalque, Buenos Aires",JUNTOS POR EL CAMBIO,0.58,0.0,0.11,0.49,39.81,23.13,0.09,0.22,0.16,0.0,0.07,0.09,0.0,0.0,35.24,32,0,6,27,2189,1272,5,12,9,0,4,5,0,0,1938,68.97,8861,6111,9.34,0.29,0.38,571,18,BUENOS AIRES
BUENOS AIRES_TIGRE,"Tigre, Buenos Aires",UNION POR LA PATRIA,3.66,0.08,0.2,0.86,31.23,28.2,0.37,0.06,0.41,0.57,0.21,0.64,0.15,0.07,33.28,7576,175,421,1786,64631,58356,770,133,845,1174,437,1321,311,150,68871,68.36,330245,225763,7.3,0.18,0.85,16489,396,BUENOS AIRES
BUENOS AIRES_TORDILLO,"Tordillo, Buenos Aires",UNION POR LA PATRIA,0.23,0.0,0.0,0.17,37.74,17.2,0.06,0.35,0.06,0.06,0.0,0.4,0.0,0.0,43.73,4,0,0,3,656,299,1,6,1,1,0,7,0,0,760,78.6,2411,1895,7.34,0.21,0.74,139,4,BUENOS AIRES
BUENOS AIRES_TORNQUIST,"Tornquist, Buenos Aires",JUNTOS POR EL CAMBIO,1.24,0.0,0.14,1.9,35.03,29.67,0.17,0.19,0.19,0.11,0.18,0.74,0.01,0.01,30.43,119,0,13,182,3352,2839,16,18,18,11,17,71,1,1,2912,66.0,15807,10432,7.54,0.19,0.53,787,20,BUENOS AIRES
BUENOS AIRES_TRENQUE LAUQUEN,"Trenque Lauquen, Buenos Aires",JUNTOS POR EL CAMBIO,1.34,0.01,0.22,1.71,40.5,29.42,0.27,0.34,0.36,0.61,0.18,0.8,0.1,0.0,24.12,333,2,55,423,10034,7290,67,85,89,152,45,199,25,1,5976,65.5,41515,27193,7.88,0.22,0.79,2142,60,BUENOS AIRES
BUENOS AIRES_TRES ARROYOS,"Tres Arroyos, Buenos Aires",JUNTOS POR EL CAMBIO,2.38,0.0,0.18,2.01,37.07,27.12,0.26,0.33,0.48,0.45,0.06,1.11,0.0,0.0,28.55,736,1,56,623,11479,8399,82,101,149,139,19,343,0,0,8840,65.21,53367,34801,9.78,0.16,1.09,3402,54,BUENOS AIRES
BUENOS AIRES_TRES DE FEBRERO,"Tres De Febrero, Buenos Aires",JUNTOS POR EL CAMBIO,4.16,0.1,0.21,1.03,35.4,24.27,0.42,0.0,0.5,0.45,0.24,1.16,0.21,0.11,31.74,7692,188,390,1904,65450,44882,769,9,917,840,449,2150,381,197,58683,68.82,284360,195706,4.39,0.15,0.98,8587,302,BUENOS AIRES
BUENOS AIRES_TRES LOMAS,"Tres Lomas, Buenos Aires",UNION POR LA PATRIA,0.64,0.14,0.21,1.0,36.38,21.64,0.17,0.38,0.26,0.21,0.07,0.26,0.0,0.0,38.64,27,6,9,42,1530,910,7,16,11,9,3,11,0,0,1625,71.9,6836,4915,13.75,0.18,0.49,676,9,BUENOS AIRES
BUENOS AIRES_VICENTE LOPEZ,"Vicente Lopez, Buenos Aires",JUNTOS POR EL CAMBIO,3.86,0.17,0.14,1.26,50.58,20.18,0.44,0.04,0.37,0.25,0.17,0.89,0.17,0.08,21.4,6142,276,230,2005,80416,32086,694,71,587,390,276,1410,267,127,34022,71.88,231259,166220,3.15,0.14,1.05,5232,237,BUENOS AIRES
BUENOS AIRES_VILLA GESELL,"Villa Gesell, Buenos Aires",JUNTOS POR EL CAMBIO,1.96,0.01,0.17,1.47,33.31,29.07,0.22,0.22,0.31,0.28,0.16,0.74,0.0,0.0,32.09,343,1,29,257,5841,5097,38,38,55,49,28,130,0,0,5627,58.36,32600,19025,6.8,0.11,0.94,1293,21,BUENOS AIRES
BUENOS AIRES_VILLARINO,"Villarino, Buenos Aires",LA LIBERTAD AVANZA,1.21,0.0,0.24,0.97,32.28,46.87,0.22,0.45,0.38,0.43,0.15,0.62,0.0,0.0,16.18,173,0,35,139,4617,6705,32,65,54,61,21,89,0,0,2314,68.6,24991,17145,15.33,0.38,0.85,2629,65,BUENOS AIRES
BUENOS AIRES_ZARATE,"Zarate, Buenos Aires",UNION POR LA PATRIA,2.27,0.53,0.18,1.01,30.21,27.17,0.31,0.24,0.38,0.66,0.24,0.88,0.18,0.01,35.75,1413,327,114,628,18817,16919,193,149,235,412,147,548,110,7,22263,67.56,101288,68433,8.34,0.08,0.58,5705,52,BUENOS AIRES
