id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
SAN LUIS_AYACUCHO,"Ayacucho, San Luis",UNION POR LA PATRIA,1.45,5.27,17.61,37.76,37.91,200,727,2427,5205,5226,75.1,18984,14257,2.25,0.02,1.04,321,3,SAN LUIS
SAN LUIS_BELGRANO,"Belgrano, San Luis",UNION POR LA PATRIA,1.96,4.23,23.11,33.67,37.03,56,121,661,963,1059,61.96,4735,2934,1.94,0.07,0.51,57,2,SAN LUIS
SAN LUIS_CHACABUCO,"Chacabuco, San Luis",LA LIBERTAD AVANZA,1.57,7.09,18.84,41.96,30.54,246,1113,2957,6584,4792,77.14,20925,16142,1.81,0.02,0.96,292,3,SAN LUIS
SAN LUIS_CORONEL PRINGLES,"Coronel Pringles, San Luis",LA LIBERTAD AVANZA,1.4,4.18,20.47,41.25,32.7,135,404,1976,3982,3157,76.32,13069,9974,2.05,0.06,1.1,204,6,SAN LUIS
SAN LUIS_GENERAL PEDERNERA,"General Pedernera, San Luis",LA LIBERTAD AVANZA,1.96,6.47,21.86,45.79,23.92,1763,5807,19622,41110,21472,79.35,116346,92319,1.69,0.05,1.02,1557,48,SAN LUIS
SAN LUIS_GOBERNADOR DUPUY,"Gobernador Dupuy, San Luis",LA LIBERTAD AVANZA,1.08,2.95,19.33,42.75,33.88,90,247,1617,3576,2834,76.19,11278,8593,2.2,0.03,0.43,189,3,SAN LUIS
SAN LUIS_JUAN MARTIN DE PUEYRREDON,"Juan Martin De Pueyrredon, San Luis",LA LIBERTAD AVANZA,2.58,5.91,20.94,44.2,26.36,3896,8903,31565,66623,39736,78.62,197579,155345,1.77,0.17,1.03,2757,262,SAN LUIS
SAN LUIS_JUNIN,"Junin, San Luis",LA LIBERTAD AVANZA,2.21,10.43,21.74,37.46,28.16,541,2553,5322,9171,6895,75.02,33680,25268,1.58,0.04,1.5,398,9,SAN LUIS
SAN LUIS_LIBERTADOR GENERAL SAN MARTIN,"Libertador General San Martin, San Luis",UNION POR LA PATRIA,1.09,4.17,19.89,30.47,44.37,37,142,677,1037,1510,79.33,4441,3523,2.61,0.09,0.71,92,3,SAN LUIS
