id,seccion,agrupacion_ganadora,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
TIERRA DEL FUEGO_ANTARTIDA ARGENTINA,"Antartida Argentina, Tierra Del Fuego",LA LIBERTAD AVANZA,90.58,9.42,173,18,67.12,292,196,2.55,0.0,0.0,5,0,TIERRA DEL FUEGO
TIERRA DEL FUEGO_RIO GRANDE,"Rio Grande, Tierra Del Fuego",UNION POR LA PATRIA,49.37,50.63,26592,27266,73.64,76468,56311,1.05,0.11,3.19,594,60,TIERRA DEL FUEGO
TIERRA DEL FUEGO_TOLHUIN,"Tolhuin, Tierra Del Fuego",LA LIBERTAD AVANZA,57.47,42.53,2227,1648,69.12,5780,3995,0.58,0.15,2.28,23,6,TIERRA DEL FUEGO
TIERRA DEL FUEGO_USHUAIA,"Ushuaia, Tierra Del Fuego",LA LIBERTAD AVANZA,57.48,42.52,25840,19114,71.79,65444,46984,1.02,0.07,3.24,477,32,TIERRA DEL FUEGO
