id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
TIERRA DEL FUEGO_ANTARTIDA ARGENTINA,"Antartida Argentina, Tierra Del Fuego",LA LIBERTAD AVANZA,2.01,3.02,22.11,68.84,4.02,4,6,44,137,8,70.53,285,201,0.5,0.0,0.5,1,0,TIERRA DEL FUEGO
TIERRA DEL FUEGO_RIO GRANDE,"Rio Grande, Tierra Del Fuego",UNION POR LA PATRIA,3.97,8.18,13.36,32.09,42.4,2219,4576,7473,17943,23712,75.5,76463,57732,1.31,0.12,1.7,759,71,TIERRA DEL FUEGO
TIERRA DEL FUEGO_TOLHUIN,"Tolhuin, Tierra Del Fuego",LA LIBERTAD AVANZA,2.14,5.78,10.54,45.73,35.82,88,238,434,1883,1475,73.51,5780,4249,1.08,0.31,1.69,46,13,TIERRA DEL FUEGO
TIERRA DEL FUEGO_USHUAIA,"Ushuaia, Tierra Del Fuego",LA LIBERTAD AVANZA,3.88,10.67,17.27,34.72,33.46,1780,4894,7924,15928,15353,72.54,65440,47470,1.65,0.16,1.55,782,75,TIERRA DEL FUEGO
