,id,seccion,agrupacion_ganadora,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos
32,BUENOS AIRES_CORONEL PRINGLES,"Coronel Pringles, Buenos Aires",LA LIBERTAD AVANZA,66.06,33.94,9457,4858,72.27,20606,14891,1.69,0.05,2.12,252,8
33,BUENOS AIRES_CORONEL SUAREZ,"Coronel Suarez, Buenos Aires",LA LIBERTAD AVANZA,65.85,34.15,16441,8528,74.1,35121,26023,1.34,0.02,2.69,350,4
34,BUENOS AIRES_DAIREAUX,"Daireaux, Buenos Aires",LA LIBERTAD AVANZA,62.74,37.26,6793,4035,72.89,15288,11144,1.49,0.01,1.34,166,1
35,BUENOS AIRES_DOLORES,"Dolores, Buenos Aires",LA LIBERTAD AVANZA,60.64,39.36,11216,7279,74.97,25513,19128,1.29,0.02,2.01,246,3
36,BUENOS AIRES_ENSENADA,"Ensenada, Buenos Aires",UNION POR LA PATRIA,37.8,62.2,16605,27325,77.62,58246,45213,2.06,0.07,0.71,931,31
37,BUENOS AIRES_ESCOBAR,"Escobar, Buenos Aires",LA LIBERTAD AVANZA,52.39,47.61,77235,70177,76.85,197184,151541,1.54,0.12,1.07,2327,180
38,BUENOS AIRES_ESTEBAN ECHEVERRIA,"Esteban Echeverria, Buenos Aires",UNION POR LA PATRIA,46.89,53.11,84988,96277,77.93,240100,187100,1.57,0.06,1.49,2932,117
39,BUENOS AIRES_EXALTACION DE LA CRUZ,"Exaltacion De La Cruz, Buenos Aires",LA LIBERTAD AVANZA,59.69,40.31,14489,9784,76.84,32463,24943,1.21,0.01,1.47,301,2
40,BUENOS AIRES_EZEIZA,"Ezeiza, Buenos Aires",UNION POR LA PATRIA,48.1,51.9,52981,57175,78.92,142980,112840,1.62,0.02,0.73,1832,28
41,BUENOS AIRES_FLORENCIO VARELA,"Florencio Varela, Buenos Aires",UNION POR LA PATRIA,36.85,63.15,91681,157084,75.6,336305,254242,1.58,0.02,0.56,4015,45
42,BUENOS AIRES_FLORENTINO AMEGHINO,"Florentino Ameghino, Buenos Aires",LA LIBERTAD AVANZA,61.58,38.42,3785,2361,77.23,8166,6307,1.03,0.02,1.51,65,1
