,id,seccion,agrupacion_ganadora,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos
142,CATAMARCA_EL ALTO,"El Alto, Catamarca",UNION POR LA PATRIA,34.26,65.74,1098,2107,75.43,4343,3276,1.07,0.0,1.1,35,0
143,CATAMARCA_FRAY MAMERTO ESQUIU,"Fray Mamerto Esquiu, Catamarca",LA LIBERTAD AVANZA,53.76,46.24,4695,4038,74.68,12239,9140,2.87,0.01,1.58,262,1
144,CATAMARCA_LA PAZ,"La Paz, Catamarca",UNION POR LA PATRIA,37.83,62.17,5960,9794,76.71,21019,16123,1.31,0.04,0.94,211,6
145,CATAMARCA_PACLIN,"Paclin, Catamarca",UNION POR LA PATRIA,41.24,58.76,1366,1946,73.81,4555,3362,0.62,0.36,0.51,21,12
146,CATAMARCA_POMAN,"Poman, Catamarca",UNION POR LA PATRIA,44.95,55.05,3111,3810,72.38,9726,7040,0.7,0.0,0.99,49,0
147,CATAMARCA_SANTA MARIA,"Santa Maria, Catamarca",LA LIBERTAD AVANZA,56.3,43.7,8642,6707,73.0,21493,15689,0.83,0.04,1.29,131,6
148,CATAMARCA_SANTA ROSA,"Santa Rosa, Catamarca",UNION POR LA PATRIA,40.36,59.64,3360,4966,74.74,11327,8466,0.76,0.0,0.9,64,0
149,CATAMARCA_TINOGASTA,"Tinogasta, Catamarca",LA LIBERTAD AVANZA,54.81,45.19,6999,5770,66.82,19710,13170,1.48,0.02,1.55,195,2
150,CATAMARCA_VALLE VIEJO,"Valle Viejo, Catamarca",LA LIBERTAD AVANZA,55.54,44.46,11075,8865,72.77,28154,20488,1.03,0.05,1.59,211,11
151,CHACO_12 DE OCTUBRE,"12 De Octubre, Chaco",UNION POR LA PATRIA,45.62,54.38,6484,7728,70.25,20566,14448,0.95,0.02,0.66,137,3
152,CHACO_1° DE MAYO,"1° De Mayo, Chaco",LA LIBERTAD AVANZA,52.71,47.29,5335,4787,79.02,13049,10311,0.94,0.06,0.83,97,6
153,CHACO_2 DE ABRIL,"2 De Abril, Chaco",LA LIBERTAD AVANZA,54.4,45.6,2542,2131,72.85,6527,4755,1.16,0.0,0.57,55,0
154,CHACO_25 DE MAYO,"25 De Mayo, Chaco",UNION POR LA PATRIA,39.34,60.66,7565,11666,72.09,27031,19486,0.71,0.0,0.6,138,0
155,CHACO_9 DE JULIO,"9 De Julio, Chaco",UNION POR LA PATRIA,46.59,53.41,8366,9591,69.98,26169,18314,0.95,0.03,0.97,174,6
156,CHACO_ALMIRANTE BROWN,"Almirante Brown, Chaco",UNION POR LA PATRIA,39.85,60.15,8546,12900,67.0,32439,21734,0.73,0.03,0.57,159,6
157,CHACO_BERMEJO,"Bermejo, Chaco",UNION POR LA PATRIA,37.13,62.87,6755,11436,72.96,25433,18557,1.16,0.09,0.72,216,16
158,CHACO_CHACABUCO,"Chacabuco, Chaco",LA LIBERTAD AVANZA,57.22,42.78,11413,8532,70.23,28932,20319,0.82,0.04,0.98,166,9
159,CHACO_COMANDANTE FERNANDEZ,"Comandante Fernandez, Chaco",LA LIBERTAD AVANZA,56.94,43.06,35521,26857,72.21,88122,63634,0.82,0.03,1.12,522,22
160,CHACO_FRAY JUSTO SANTA MARIA DE ORO,"Fray Justo Santa Maria De Oro, Chaco",UNION POR LA PATRIA,47.04,52.96,3152,3548,66.01,10358,6837,1.42,0.01,0.57,97,1
161,CHACO_GENERAL BELGRANO,"General Belgrano, Chaco",UNION POR LA PATRIA,34.77,65.23,2613,4902,69.2,11027,7631,0.9,0.09,0.52,69,7
162,CHACO_GENERAL DONOVAN,"General Donovan, Chaco",UNION POR LA PATRIA,46.93,53.07,4766,5389,75.72,13667,10349,0.77,0.07,1.03,80,7
163,CHACO_GENERAL GUEMES,"General Guemes, Chaco",UNION POR LA PATRIA,38.14,61.86,15228,24697,53.63,75517,40499,0.66,0.03,0.72,269,13
164,CHACO_INDEPENDENCIA,"Independencia, Chaco",UNION POR LA PATRIA,39.08,60.92,5295,8253,67.09,20453,13722,0.74,0.02,0.5,102,3
165,CHACO_LIBERTAD,"Libertad, Chaco",LA LIBERTAD AVANZA,53.13,46.87,5244,4626,77.88,12933,10072,0.97,0.01,1.02,98,1
166,CHACO_LIBERTADOR GENERAL SAN MARTIN,"Libertador General San Martin, Chaco",UNION POR LA PATRIA,40.02,59.98,15995,23968,72.67,55812,40560,0.67,0.04,0.76,272,18
167,CHACO_MAIPU,"Maipu, Chaco",UNION POR LA PATRIA,42.55,57.45,6338,8556,67.73,22327,15121,1.14,0.0,0.36,172,0
168,CHACO_MAYOR LUIS J. FONTANA,"Mayor Luis J. Fontana, Chaco",UNION POR LA PATRIA,49.97,50.03,18748,18767,72.37,52973,38335,1.29,0.01,0.84,493,5
169,CHACO_O'HIGGINS,"O'Higgins, Chaco",UNION POR LA PATRIA,38.2,61.8,5063,8190,70.86,18982,13451,1.02,0.01,0.45,137,1
170,CHACO_PRESIDENCIA DE LA PLAZA,"Presidencia De La Plaza, Chaco",UNION POR LA PATRIA,45.33,54.67,3589,4328,71.47,11300,8076,0.77,0.0,1.2,62,0
171,CHACO_QUITILIPI,"Quitilipi, Chaco",UNION POR LA PATRIA,48.37,51.63,9564,10210,67.01,29999,20102,0.98,0.0,0.65,198,0
172,CHACO_SAN FERNANDO,"San Fernando, Chaco",LA LIBERTAD AVANZA,57.21,42.79,155755,116505,76.57,363354,278214,0.77,0.08,1.29,2148,213
173,CHACO_SAN LORENZO,"San Lorenzo, Chaco",UNION POR LA PATRIA,35.86,64.14,3500,6261,71.65,13868,9937,0.83,0.02,0.93,82,2
174,CHACO_SARGENTO CABRAL,"Sargento Cabral, Chaco",UNION POR LA PATRIA,40.17,59.83,4709,7014,74.46,15976,11896,0.76,0.0,0.69,91,0
175,CHACO_TAPENAGA,"Tapenaga, Chaco",UNION POR LA PATRIA,44.0,56.0,938,1194,66.43,3280,2179,0.96,0.14,1.06,21,3
176,CHUBUT_BIEDMA,"Biedma, Chubut",LA LIBERTAD AVANZA,62.05,37.95,35060,21440,76.12,77868,59270,1.38,0.1,3.19,818,59
177,CHUBUT_CUSHAMEN,"Cushamen, Chubut",UNION POR LA PATRIA,44.42,55.58,7609,9522,71.39,25249,18026,1.62,0.01,3.33,292,2
178,CHUBUT_ESCALANTE,"Escalante, Chubut",LA LIBERTAD AVANZA,59.65,40.35,71487,48358,74.3,168148,124930,1.37,0.06,2.63,1715,80
179,CHUBUT_FUTALEUFU,"Futaleufu, Chubut",LA LIBERTAD AVANZA,56.37,43.63,16013,12392,71.55,41936,30004,1.72,0.05,3.56,515,15
180,CHUBUT_GAIMAN,"Gaiman, Chubut",LA LIBERTAD AVANZA,66.02,33.98,4968,2557,74.0,10635,7870,1.18,0.09,3.11,93,7
181,CHUBUT_LANGUIÑEO,"Languiñeo, Chubut",UNION POR LA PATRIA,47.54,52.46,764,843,62.1,2736,1699,1.88,0.0,3.53,32,0
182,CHUBUT_MARTIRES,"Martires, Chubut",LA LIBERTAD AVANZA,52.99,47.01,186,165,55.54,650,361,1.39,0.0,1.39,5,0
183,CHUBUT_PASO DE INDIOS,"Paso De Indios, Chubut",UNION POR LA PATRIA,45.82,54.18,428,506,58.97,1633,963,1.56,0.0,1.45,15,0
184,CHUBUT_RAWSON,"Rawson, Chubut",LA LIBERTAD AVANZA,60.4,39.6,51062,33474,73.76,120298,88732,1.48,0.07,3.18,1313,60
185,CHUBUT_RIO SENGUER,"Rio Senguer, Chubut",LA LIBERTAD AVANZA,52.15,47.85,1676,1538,63.23,5263,3328,1.02,0.0,2.4,34,0
186,CHUBUT_SARMIENTO,"Sarmiento, Chubut",LA LIBERTAD AVANZA,62.01,37.99,4706,2883,71.19,10997,7829,0.8,0.05,2.21,63,4
187,CHUBUT_TEHUELCHES,"Tehuelches, Chubut",UNION POR LA PATRIA,49.92,50.08,1584,1589,65.11,5099,3320,1.57,0.03,2.83,52,1
188,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 1,"Comuna 1, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,57.71,42.29,66712,48894,68.27,176202,120288,2.15,0.05,1.69,2591,62
189,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 10,"Comuna 10, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,55.45,44.55,60358,48495,78.09,147067,114847,2.88,0.06,2.28,3309,64
190,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 11,"Comuna 11, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,57.87,42.13,73591,53583,78.54,171256,134513,3.12,0.08,2.25,4200,111
191,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 12,"Comuna 12, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,57.94,42.06,82141,59627,78.67,190819,150110,3.2,0.07,2.29,4804,102
192,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 13,"Comuna 13, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,66.88,33.12,102794,50899,75.29,216549,163049,3.93,0.04,1.76,6412,69
193,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 14,"Comuna 14, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,66.66,33.34,95260,47636,72.96,207012,151032,3.66,0.05,1.68,5523,69
194,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 15,"Comuna 15, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,50.44,49.56,59669,58629,76.37,163575,124923,3.08,0.07,2.15,3844,91
195,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 2,"Comuna 2, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,72.23,27.77,68722,26417,72.47,137779,99847,3.15,0.04,1.53,3143,36
196,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 3,"Comuna 3, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,53.71,46.29,57270,49365,71.89,155066,111477,2.26,0.06,2.03,2516,64
197,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 4,"Comuna 4, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,50.07,49.93,64516,64341,74.3,180576,134160,1.83,0.06,2.06,2459,83
198,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 5,"Comuna 5, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,51.26,48.74,56460,53690,75.62,153414,116018,2.92,0.06,2.08,3383,69
199,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 6,"Comuna 6, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,56.44,43.56,66137,51035,78.05,159176,124243,3.55,0.06,2.08,4412,78
200,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 7,"Comuna 7, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,55.05,44.95,68841,56211,75.4,174167,131317,2.63,0.05,2.09,3456,68
201,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 8,"Comuna 8, Ciudad Autonoma De Buenos Aires",UNION POR LA PATRIA,49.55,50.45,52558,53511,74.85,146694,109802,1.46,0.05,1.88,1608,59
202,CIUDAD AUTONOMA DE BUENOS AIRES_COMUNA 9,"Comuna 9, Ciudad Autonoma De Buenos Aires",LA LIBERTAD AVANZA,54.13,45.87,59128,50107,77.51,147324,114192,2.27,0.05,2.02,2596,56
203,CORDOBA_CALAMUCHITA,"Calamuchita, Cordoba",LA LIBERTAD AVANZA,72.12,27.88,31975,12361,73.88,62570,46226,1.61,0.03,2.45,745,14
204,CORDOBA_CAPITAL,"Capital, Cordoba",LA LIBERTAD AVANZA,75.03,24.97,614786,204639,75.4,1130798,852604,1.62,0.05,2.22,13781,452
205,CORDOBA_COLON,"Colon, Cordoba",LA LIBERTAD AVANZA,76.86,23.14,142786,42981,76.38,251972,192446,1.4,0.04,2.03,2686,80
206,CORDOBA_CRUZ DEL EJE,"Cruz Del Eje, Cordoba",LA LIBERTAD AVANZA,52.93,47.07,19310,17174,70.15,53688,37662,1.09,0.04,2.0,409,16
207,CORDOBA_GENERAL ROCA,"General Roca, Cordoba",LA LIBERTAD AVANZA,73.31,26.69,14958,5447,71.25,29488,21009,1.34,0.01,1.53,281,2
208,CORDOBA_GENERAL SAN MARTIN,"General San Martin, Cordoba",LA LIBERTAD AVANZA,70.82,29.18,61945,25525,74.8,121255,90694,1.61,0.04,1.91,1462,33
209,CORDOBA_ISCHILIN,"Ischilin, Cordoba",LA LIBERTAD AVANZA,66.47,33.53,14320,7222,74.22,29902,22192,1.18,0.0,1.75,262,0
210,CORDOBA_JUAREZ CELMAN,"Juarez Celman, Cordoba",LA LIBERTAD AVANZA,76.69,23.31,31230,9491,75.64,55796,42204,1.49,0.01,2.01,629,5
211,CORDOBA_MARCOS JUAREZ,"Marcos Juarez, Cordoba",LA LIBERTAD AVANZA,75.11,24.89,49248,16320,75.91,89691,68080,2.22,0.02,1.45,1508,16
212,CORDOBA_MINAS,"Minas, Cordoba",UNION POR LA PATRIA,48.71,51.29,1514,1594,62.44,5155,3219,1.52,0.0,1.93,49,0
213,CORDOBA_POCHO,"Pocho, Cordoba",LA LIBERTAD AVANZA,62.74,37.26,1879,1116,63.16,4891,3089,1.55,0.0,1.49,48,0
214,CORDOBA_PRESIDENTE ROQUE SAENZ PEÑA,"Presidente Roque Saenz Peña, Cordoba",LA LIBERTAD AVANZA,73.45,26.55,16469,5952,73.37,31603,23186,1.45,0.0,1.85,336,1
215,CORDOBA_PUNILLA,"Punilla, Cordoba",LA LIBERTAD AVANZA,73.59,26.41,97023,34828,72.51,189556,137440,1.48,0.03,2.55,2037,41
216,CORDOBA_RIO CUARTO,"Rio Cuarto, Cordoba",LA LIBERTAD AVANZA,73.25,26.75,115591,42205,73.97,222088,164273,1.65,0.02,2.28,2705,25
217,CORDOBA_RIO PRIMERO,"Rio Primero, Cordoba",LA LIBERTAD AVANZA,77.55,22.45,26075,7547,78.32,44127,34559,1.16,0.01,1.53,402,5
218,CORDOBA_RIO SECO,"Rio Seco, Cordoba",LA LIBERTAD AVANZA,65.27,34.73,6109,3251,69.44,13898,9651,1.41,0.01,1.6,136,1
219,CORDOBA_RIO SEGUNDO,"Rio Segundo, Cordoba",LA LIBERTAD AVANZA,78.64,21.36,56835,15441,78.91,94933,74908,1.39,0.01,2.12,1043,4
220,CORDOBA_SAN ALBERTO,"San Alberto, Cordoba",LA LIBERTAD AVANZA,65.62,34.38,17945,9403,73.22,38790,28401,1.56,0.03,2.12,443,9
221,CORDOBA_SAN JAVIER,"San Javier, Cordoba",LA LIBERTAD AVANZA,62.92,37.08,23969,14126,73.33,53705,39382,1.19,0.06,2.02,467,24
222,CORDOBA_SAN JUSTO,"San Justo, Cordoba",LA LIBERTAD AVANZA,75.72,24.28,105046,33681,75.52,190194,143627,1.52,0.04,1.85,2190,55
223,CORDOBA_SANTA MARIA,"Santa Maria, Cordoba",LA LIBERTAD AVANZA,76.17,23.83,63379,19824,76.63,112997,86587,1.48,0.02,2.41,1279,19
224,CORDOBA_SOBREMONTE,"Sobremonte, Cordoba",LA LIBERTAD AVANZA,52.52,47.48,1365,1234,61.25,4361,2671,1.24,0.0,1.46,33,0
225,CORDOBA_TERCERO ARRIBA,"Tercero Arriba, Cordoba",LA LIBERTAD AVANZA,76.84,23.16,57237,17254,76.56,101205,77487,1.87,0.03,1.96,1452,23
226,CORDOBA_TOTORAL,"Totoral, Cordoba",LA LIBERTAD AVANZA,75.47,24.53,10580,3438,76.33,18824,14369,1.11,0.04,1.29,160,6
227,CORDOBA_TULUMBA,"Tulumba, Cordoba",LA LIBERTAD AVANZA,63.6,36.4,5448,3118,68.44,12884,8818,1.19,0.01,1.66,105,1
228,CORDOBA_UNION,"Union, Cordoba",LA LIBERTAD AVANZA,73.02,26.98,50125,18523,73.54,96572,71019,1.82,0.01,1.51,1291,7
229,CORRIENTES_BELLA VISTA,"Bella Vista, Corrientes",UNION POR LA PATRIA,46.52,53.48,11941,13729,78.15,33475,26161,0.62,0.01,1.25,161,2
230,CORRIENTES_BERON DE ASTRADA,"Beron De Astrada, Corrientes",LA LIBERTAD AVANZA,53.76,46.24,1052,905,72.8,2739,1994,0.45,0.0,1.4,9,0
231,CORRIENTES_CAPITAL,"Capital, Corrientes",LA LIBERTAD AVANZA,64.22,35.78,152108,84746,78.41,310286,243285,0.8,0.06,1.79,1937,137
232,CORRIENTES_CONCEPCION,"Concepcion, Corrientes",UNION POR LA PATRIA,39.45,60.55,5707,8758,75.73,19448,14728,0.61,0.02,1.15,90,3
233,CORRIENTES_CURUZU CUATIA,"Curuzu Cuatia, Corrientes",UNION POR LA PATRIA,48.94,51.06,13912,14517,73.49,39753,29213,0.93,0.05,1.7,273,15
234,CORRIENTES_EMPEDRADO,"Empedrado, Corrientes",LA LIBERTAD AVANZA,50.47,49.53,5753,5645,77.96,14965,11666,0.64,0.03,1.62,75,4
235,CORRIENTES_ESQUINA,"Esquina, Corrientes",UNION POR LA PATRIA,41.89,58.11,9258,12843,68.03,33153,22554,0.7,0.03,1.28,159,6
236,CORRIENTES_GENERAL ALVEAR,"General Alvear, Corrientes",UNION POR LA PATRIA,46.95,53.05,2248,2540,67.51,7261,4902,0.82,0.04,1.47,40,2
237,CORRIENTES_GENERAL PAZ,"General Paz, Corrientes",UNION POR LA PATRIA,44.6,55.4,4810,5974,74.09,14805,10969,0.61,0.0,1.08,67,0
238,CORRIENTES_GOYA,"Goya, Corrientes",UNION POR LA PATRIA,41.78,58.22,24910,34718,76.16,80246,61118,0.89,0.03,1.52,545,19
239,CORRIENTES_ITATI,"Itati, Corrientes",LA LIBERTAD AVANZA,52.87,47.13,3703,3301,68.37,10387,7102,0.42,0.01,0.94,30,1
240,CORRIENTES_ITUZAINGO,"Ituzaingo, Corrientes",LA LIBERTAD AVANZA,57.98,42.02,15137,10971,67.49,39556,26696,0.66,0.01,1.52,177,4
241,CORRIENTES_LAVALLE,"Lavalle, Corrientes",UNION POR LA PATRIA,34.24,65.76,7530,14461,78.95,28410,22431,0.68,0.01,1.27,153,3
242,CORRIENTES_MBURUCUYA,"Mburucuya, Corrientes",UNION POR LA PATRIA,34.79,65.21,2427,4549,75.78,9386,7113,0.93,0.03,0.97,66,2
243,CORRIENTES_MERCEDES,"Mercedes, Corrientes",LA LIBERTAD AVANZA,52.52,47.48,14855,13428,75.5,38414,29001,0.68,0.05,1.74,197,15
244,CORRIENTES_MONTE CASEROS,"Monte Caseros, Corrientes",LA LIBERTAD AVANZA,55.1,44.9,13886,11314,76.86,33424,25689,0.79,0.04,1.07,204,10
245,CORRIENTES_PASO DE LOS LIBRES,"Paso De Los Libres, Corrientes",UNION POR LA PATRIA,47.2,52.8,15728,17591,71.94,47361,34070,0.75,0.03,1.43,254,11
246,CORRIENTES_SALADAS,"Saladas, Corrientes",UNION POR LA PATRIA,41.35,58.65,6569,9318,78.59,20628,16211,0.73,0.03,1.24,118,5
247,CORRIENTES_SAN COSME,"San Cosme, Corrientes",LA LIBERTAD AVANZA,66.69,33.31,11715,5851,73.18,24552,17968,0.76,0.03,1.45,136,6
248,CORRIENTES_SAN LUIS DEL PALMAR,"San Luis Del Palmar, Corrientes",UNION POR LA PATRIA,48.33,51.67,6923,7402,80.57,18189,14655,0.61,0.01,1.63,90,1
249,CORRIENTES_SAN MARTIN,"San Martin, Corrientes",UNION POR LA PATRIA,46.69,53.31,4022,4593,72.26,12190,8809,1.09,0.0,1.11,96,0
250,CORRIENTES_SAN MIGUEL,"San Miguel, Corrientes",UNION POR LA PATRIA,31.85,68.15,2413,5163,76.75,10081,7737,0.81,0.06,1.2,63,5
251,CORRIENTES_SAN ROQUE,"San Roque, Corrientes",UNION POR LA PATRIA,35.21,64.79,4775,8786,74.38,18582,13822,0.77,0.01,1.11,106,2
252,CORRIENTES_SANTO TOME,"Santo Tome, Corrientes",LA LIBERTAD AVANZA,56.49,43.51,22659,17453,74.99,54694,41016,0.7,0.03,1.48,287,12
253,CORRIENTES_SAUCE,"Sauce, Corrientes",UNION POR LA PATRIA,37.38,62.62,2150,3601,71.76,8227,5904,0.91,0.0,1.68,54,0
254,ENTRE RIOS_COLON,"Colon, Entre Rios",LA LIBERTAD AVANZA,63.29,36.71,28198,16358,76.83,60162,46225,1.5,0.01,2.1,694,5
255,ENTRE RIOS_CONCORDIA,"Concordia, Entre Rios",LA LIBERTAD AVANZA,56.24,43.76,63144,49129,77.28,149398,115453,1.13,0.03,1.6,1302,29
256,ENTRE RIOS_DIAMANTE,"Diamante, Entre Rios",LA LIBERTAD AVANZA,69.81,30.19,21578,9333,73.49,43511,31975,1.25,0.02,2.05,401,7
257,ENTRE RIOS_FEDERACION,"Federacion, Entre Rios",LA LIBERTAD AVANZA,66.13,33.87,32536,16661,79.05,64022,50608,1.14,0.02,1.63,579,9
258,ENTRE RIOS_FEDERAL,"Federal, Entre Rios",LA LIBERTAD AVANZA,51.56,48.44,9478,8905,77.45,24431,18923,1.4,0.06,1.4,264,12
259,ENTRE RIOS_FELICIANO,"Feliciano, Entre Rios",LA LIBERTAD AVANZA,51.62,48.38,4999,4686,71.74,13834,9924,0.9,0.06,1.45,89,6
260,ENTRE RIOS_GUALEGUAY,"Gualeguay, Entre Rios",LA LIBERTAD AVANZA,64.44,35.56,23334,12875,77.34,48494,37505,1.33,0.03,2.1,497,13
261,ENTRE RIOS_GUALEGUAYCHU,"Gualeguaychu, Entre Rios",LA LIBERTAD AVANZA,64.87,35.13,52248,28293,80.85,103113,83363,1.36,0.04,1.99,1137,30
262,ENTRE RIOS_ISLAS DEL IBICUY,"Islas Del Ibicuy, Entre Rios",LA LIBERTAD AVANZA,56.39,43.61,4658,3603,68.41,12451,8518,0.92,0.02,2.08,78,2
263,ENTRE RIOS_LA PAZ,"La Paz, Entre Rios",LA LIBERTAD AVANZA,50.89,49.11,22165,21393,73.36,61153,44864,1.04,0.04,1.84,466,16
264,ENTRE RIOS_NOGOYA,"Nogoya, Entre Rios",LA LIBERTAD AVANZA,64.04,35.96,17205,9661,79.44,34847,27682,1.29,0.03,1.64,356,7
265,ENTRE RIOS_PARANA,"Parana, Entre Rios",LA LIBERTAD AVANZA,62.56,37.44,148239,88702,77.3,318471,246167,1.48,0.05,2.22,3649,116
266,ENTRE RIOS_SAN SALVADOR,"San Salvador, Entre Rios",LA LIBERTAD AVANZA,65.57,34.43,8634,4534,78.91,17208,13579,1.39,0.01,1.63,189,1
267,ENTRE RIOS_TALA,"Tala, Entre Rios",LA LIBERTAD AVANZA,62.34,37.66,11385,6878,76.42,24724,18893,1.34,0.04,1.96,253,7
268,ENTRE RIOS_URUGUAY,"Uruguay, Entre Rios",LA LIBERTAD AVANZA,61.56,38.44,42646,26624,77.25,92885,71758,1.42,0.02,2.03,1016,15
269,ENTRE RIOS_VICTORIA,"Victoria, Entre Rios",LA LIBERTAD AVANZA,63.9,36.1,15413,8709,75.17,33117,24895,1.2,0.03,1.88,298,8
270,ENTRE RIOS_VILLAGUAY,"Villaguay, Entre Rios",LA LIBERTAD AVANZA,60.41,39.59,19186,12576,74.84,43619,32646,1.02,0.03,1.65,334,10
271,FORMOSA_BERMEJO,"Bermejo, Formosa",UNION POR LA PATRIA,26.03,73.97,2267,6443,64.91,13571,8809,0.82,0.0,0.31,72,0
272,FORMOSA_FORMOSA,"Formosa, Formosa",LA LIBERTAD AVANZA,53.13,46.87,83136,73347,76.21,209732,159842,0.97,0.02,1.11,1552,33
273,FORMOSA_LAISHI,"Laishi, Formosa",UNION POR LA PATRIA,39.34,60.66,5176,7981,78.17,17107,13372,0.9,0.01,0.7,120,2
274,FORMOSA_MATACOS,"Matacos, Formosa",UNION POR LA PATRIA,27.34,72.66,2659,7066,72.63,13582,9864,0.68,0.01,0.72,67,1
275,FORMOSA_PATIÑO,"Patiño, Formosa",UNION POR LA PATRIA,34.99,65.01,15885,29515,70.92,64845,45989,0.72,0.03,0.53,332,13
276,FORMOSA_PILAGAS,"Pilagas, Formosa",UNION POR LA PATRIA,31.51,68.49,3977,8646,75.01,16992,12746,0.49,0.01,0.46,63,1
277,FORMOSA_PILCOMAYO,"Pilcomayo, Formosa",UNION POR LA PATRIA,38.79,61.21,21447,33846,73.13,76962,56284,0.87,0.02,0.88,487,11
278,FORMOSA_PIRANE,"Pirane, Formosa",UNION POR LA PATRIA,39.46,60.54,16177,24824,73.45,56873,41772,0.93,0.03,0.89,388,12
279,FORMOSA_RAMON LISTA,"Ramon Lista, Formosa",UNION POR LA PATRIA,19.18,80.82,1407,5930,57.85,12821,7417,0.69,0.0,0.39,51,0
280,JUJUY_COCHINOCA,"Cochinoca, Jujuy",LA LIBERTAD AVANZA,61.35,38.65,4370,2753,67.81,11195,7591,3.16,0.05,2.95,240,4
281,JUJUY_DOCTOR MANUEL BELGRANO,"Doctor Manuel Belgrano, Jujuy",LA LIBERTAD AVANZA,63.72,36.28,108161,61591,76.26,229790,175228,1.03,0.05,2.04,1812,93
282,CHUBUT_TELSEN,"Telsen, Chubut",,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0
283,CHUBUT_GASTRE,"Gastre, Chubut",,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0
284,CHUBUT_FLORENTINO AMEGHINO,"Florentino Ameghino, Chubut",,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0
285,LA PAMPA_CURACO,"Curaco, La Pampa",,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0
286,JUJUY_EL CARMEN,"El Carmen, Jujuy",LA LIBERTAD AVANZA,63.21,36.79,41559,24192,79.78,84236,67200,0.72,0.05,1.39,481,31
287,JUJUY_HUMAHUACA,"Humahuaca, Jujuy",LA LIBERTAD AVANZA,54.75,45.25,5659,4677,72.68,14728,10705,0.78,0.1,2.57,83,11
288,JUJUY_SUSQUES,"Susques, Jujuy",,0.0,0.0,0,0,0.0,0,0,"Susques, Jujuy",0.0,0.0,0,0
289,SALTA_SANTA VICTORIA,"Santa Victoria, Salta",,0.0,0.0,0,0,0.0,0,0,"Santa Victoria, Salta",0.0,0.0,0,0
290,JUJUY_LEDESMA,"Ledesma, Jujuy",LA LIBERTAD AVANZA,50.64,49.36,25941,25288,75.55,69266,52332,0.79,0.04,1.28,412,19
291,JUJUY_PALPALA,"Palpala, Jujuy",LA LIBERTAD AVANZA,60.28,39.72,22750,14991,79.69,48581,38714,0.66,0.06,1.79,256,25
292,JUJUY_RINCONADA,"Rinconada, Jujuy",UNION POR LA PATRIA,48.11,51.89,433,467,55.91,1651,923,0.54,0.0,1.95,5,0
293,JUJUY_VALLE GRANDE,"Valle Grande, Jujuy",,0.0,0.0,0,0,0.0,0,0,"Valle Grande, Jujuy",0.0,0.0,0,0
294,JUJUY_SAN ANTONIO,"San Antonio, Jujuy",LA LIBERTAD AVANZA,63.07,36.93,2890,1692,78.25,6037,4724,0.76,0.08,2.16,36,4
295,JUJUY_SAN PEDRO,"San Pedro, Jujuy",UNION POR LA PATRIA,47.31,52.69,23681,26379,77.76,65745,51123,0.67,0.06,1.35,342,32
296,JUJUY_SANTA BARBARA,"Santa Barbara, Jujuy",UNION POR LA PATRIA,41.26,58.74,4771,6792,76.04,15463,11758,0.6,0.02,1.05,70,2
297,JUJUY_SANTA CATALINA,"Santa Catalina, Jujuy",UNION POR LA PATRIA,40.47,59.53,503,740,50.02,2555,1278,0.78,0.0,1.96,10,0
