id,seccion,agrupacion_ganadora,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
FORMOSA_BERMEJO,"Bermejo, Formosa",UNION POR LA PATRIA,26.03,73.97,2267,6443,64.91,13571,8809,0.82,0.0,0.31,72,0,FORMOSA
FORMOSA_FORMOSA,"Formosa, Formosa",LA LIBERTAD AVANZA,53.13,46.87,83136,73347,76.21,209732,159842,0.97,0.02,1.11,1552,33,FORMOSA
FORMOSA_LAISHI,"Laishi, Formosa",UNION POR LA PATRIA,39.34,60.66,5176,7981,78.17,17107,13372,0.9,0.01,0.7,120,2,FORMOSA
FORMOSA_MATACOS,"Matacos, Formosa",UNION POR LA PATRIA,27.34,72.66,2659,7066,72.63,13582,9864,0.68,0.01,0.72,67,1,FORMOSA
FORMOSA_PATIÑO,"Patiño, Formosa",UNION POR LA PATRIA,34.99,65.01,15885,29515,70.92,64845,45989,0.72,0.03,0.53,332,13,FORMOSA
FORMOSA_PILAGAS,"Pilagas, Formosa",UNION POR LA PATRIA,31.51,68.49,3977,8646,75.01,16992,12746,0.49,0.01,0.46,63,1,FORMOSA
FORMOSA_PILCOMAYO,"Pilcomayo, Formosa",UNION POR LA PATRIA,38.79,61.21,21447,33846,73.13,76962,56284,0.87,0.02,0.88,487,11,FORMOSA
FORMOSA_PIRANE,"Pirane, Formosa",UNION POR LA PATRIA,39.46,60.54,16177,24824,73.45,56873,41772,0.93,0.03,0.89,388,12,FORMOSA
FORMOSA_RAMON LISTA,"Ramon Lista, Formosa",UNION POR LA PATRIA,19.18,80.82,1407,5930,57.85,12821,7417,0.69,0.0,0.39,51,0,FORMOSA
