id,seccion,agrupacion_ganadora,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
BUENOS AIRES_25 DE MAYO,"25 De Mayo, Buenos Aires",LA LIBERTAD AVANZA,63.72,36.28,14530,8272,73.87,31823,23508,1.44,0.06,1.5,339,15,BUENOS AIRES
BUENOS AIRES_9 DE JULIO,"9 De Julio, Buenos Aires",LA LIBERTAD AVANZA,63.97,36.03,20408,11495,76.24,43181,32921,1.72,0.03,1.35,566,9,BUENOS AIRES
BUENOS AIRES_ADOLFO ALSINA,"Adolfo Alsina, Buenos Aires",LA LIBERTAD AVANZA,66.54,33.46,6732,3385,72.18,14521,10481,2.09,0.0,1.38,219,0,BUENOS AIRES
BUENOS AIRES_ADOLFO GONZALES CHAVES,"Adolfo Gonzales Chaves, Buenos Aires",LA LIBERTAD AVANZA,54.52,45.48,4177,3485,73.12,10893,7965,1.66,0.01,2.13,132,1,BUENOS AIRES
BUENOS AIRES_ALBERTI,"Alberti, Buenos Aires",LA LIBERTAD AVANZA,58.22,41.78,4314,3096,79.28,9645,7647,3.01,0.01,0.08,230,1,BUENOS AIRES
BUENOS AIRES_ALMIRANTE BROWN,"Almirante Brown, Buenos Aires",UNION POR LA PATRIA,41.1,58.9,140441,201239,77.27,455938,352282,1.59,0.05,1.37,5584,176,BUENOS AIRES
BUENOS AIRES_ARRECIFES,"Arrecifes, Buenos Aires",LA LIBERTAD AVANZA,58.35,41.65,11376,8120,77.37,25914,20050,1.7,0.05,1.01,340,11,BUENOS AIRES
BUENOS AIRES_AVELLANEDA,"Avellaneda, Buenos Aires",UNION POR LA PATRIA,42.4,57.6,93523,127060,77.5,294279,228075,2.11,0.08,1.1,4802,182,BUENOS AIRES
BUENOS AIRES_AYACUCHO,"Ayacucho, Buenos Aires",LA LIBERTAD AVANZA,54.96,45.04,7030,5761,73.16,18475,13517,3.34,0.04,2.0,451,5,BUENOS AIRES
BUENOS AIRES_AZUL,"Azul, Buenos Aires",LA LIBERTAD AVANZA,57.48,42.52,24024,17772,74.75,58339,43606,1.67,0.02,2.46,730,9,BUENOS AIRES
