id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE LIBER.AR_perc,FRENTE PATRIOTA FEDERAL_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_perc,MOVIMIENTO LIBRES DEL SUR_perc,POLITICA OBRERA_perc,PRINCIPIOS Y VALORES_perc,PROYECTO JOVEN_perc,UNION DEL CENTRO DEMOCRATICO_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE LIBER.AR_votos,FRENTE PATRIOTA FEDERAL_votos,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MOVIMIENTO IZQUIERDA JUVENTUD Y DIGNIDAD_votos,MOVIMIENTO LIBRES DEL SUR_votos,POLITICA OBRERA_votos,PRINCIPIOS Y VALORES_votos,PROYECTO JOVEN_votos,UNION DEL CENTRO DEMOCRATICO_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
SANTA CRUZ_CORPEN AIKE,"Corpen Aike, Santa Cruz",LA LIBERTAD AVANZA,1.33,0.0,0.14,1.55,20.51,42.09,0.2,0.05,0.19,0.1,0.22,0.02,0.0,0.0,33.61,78,0,8,91,1207,2477,12,3,11,6,13,1,0,0,1978,73.7,11598,8548,30.51,0.06,0.58,2608,5,SANTA CRUZ
SANTA CRUZ_DESEADO,"Deseado, Santa Cruz",LA LIBERTAD AVANZA,2.85,0.03,0.15,3.9,19.83,43.92,0.26,0.11,0.33,0.87,0.37,0.08,0.0,0.0,27.28,1243,12,65,1700,8643,19147,114,49,146,381,162,36,1,2,11890,67.44,100131,67531,33.52,0.31,1.61,22639,212,SANTA CRUZ
SANTA CRUZ_GÜER AIKE,"Güer Aike, Santa Cruz",LA LIBERTAD AVANZA,2.42,0.0,0.16,2.57,24.95,38.4,0.38,0.1,0.26,0.3,0.31,0.03,0.01,0.0,30.11,1351,0,87,1439,13954,21481,212,57,144,167,174,19,3,1,16844,71.33,106299,75828,24.94,0.07,1.23,18908,52,SANTA CRUZ
SANTA CRUZ_LAGO ARGENTINO,"Lago Argentino, Santa Cruz",UNION POR LA PATRIA,3.15,0.0,0.28,1.76,17.28,36.09,0.43,0.18,0.31,0.32,0.17,0.05,0.0,0.01,39.95,361,0,32,202,1978,4130,49,21,36,37,20,6,0,1,4572,65.1,22121,14401,18.55,0.28,1.69,2671,41,SANTA CRUZ
SANTA CRUZ_LAGO BUENOS AIRES,"Lago Buenos Aires, Santa Cruz",LA LIBERTAD AVANZA,1.93,0.0,0.08,1.52,17.9,41.86,0.29,0.02,0.21,0.08,0.19,0.04,0.0,0.0,35.88,93,0,4,73,862,2016,14,1,10,4,9,2,0,0,1728,63.6,10962,6972,29.37,0.2,1.35,2048,14,SANTA CRUZ
SANTA CRUZ_MAGALLANES,"Magallanes, Santa Cruz",LA LIBERTAD AVANZA,2.5,0.0,0.17,2.91,24.78,48.32,0.21,0.06,0.19,0.19,0.43,0.02,0.0,0.0,20.2,117,0,8,136,1158,2258,10,3,9,9,20,1,0,0,944,68.18,10403,7093,32.88,0.1,1.14,2332,7,SANTA CRUZ
SANTA CRUZ_RIO CHICO,"Rio Chico, Santa Cruz",LA LIBERTAD AVANZA,3.14,0.0,0.31,2.34,19.03,41.87,0.18,0.25,0.18,0.18,0.31,0.0,0.0,0.0,32.2,51,0,5,38,309,680,3,4,3,3,5,0,0,0,523,69.22,3886,2690,37.99,0.56,1.08,1022,15,SANTA CRUZ
