id,seccion,agrupacion_ganadora,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,HACEMOS POR NUESTRO PAIS_perc,JUNTOS POR EL CAMBIO_perc,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS_votos,JUNTOS POR EL CAMBIO_votos,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
SANTA CRUZ_CORPEN AIKE,"Corpen Aike, Santa Cruz",LA LIBERTAD AVANZA,2.2,5.86,13.65,39.77,38.52,176,468,1090,3177,3077,75.6,11598,8768,7.48,0.15,1.27,656,13,SANTA CRUZ
SANTA CRUZ_DESEADO,"Deseado, Santa Cruz",UNION POR LA PATRIA,2.94,8.55,13.69,37.35,37.48,1857,5410,8655,23619,23700,69.84,100131,69929,7.63,0.18,1.76,5333,124,SANTA CRUZ
SANTA CRUZ_GÜER AIKE,"Güer Aike, Santa Cruz",UNION POR LA PATRIA,2.61,5.35,19.97,34.75,37.32,1833,3754,13997,24359,26160,70.22,106299,74647,4.34,0.1,1.66,3236,71,SANTA CRUZ
SANTA CRUZ_LAGO ARGENTINO,"Lago Argentino, Santa Cruz",UNION POR LA PATRIA,4.3,5.34,13.84,33.19,43.33,616,766,1985,4759,6212,68.93,22121,15248,3.63,0.31,2.03,553,47,SANTA CRUZ
SANTA CRUZ_LAGO BUENOS AIRES,"Lago Buenos Aires, Santa Cruz",UNION POR LA PATRIA,2.6,4.19,12.64,38.19,42.38,176,283,854,2581,2864,71.38,10477,7479,7.97,0.24,1.43,596,18,SANTA CRUZ
SANTA CRUZ_MAGALLANES,"Magallanes, Santa Cruz",LA LIBERTAD AVANZA,2.83,7.32,17.54,44.07,28.24,184,476,1141,2867,1837,68.26,10403,7101,7.28,0.15,0.96,517,11,SANTA CRUZ
SANTA CRUZ_RIO CHICO,"Rio Chico, Santa Cruz",UNION POR LA PATRIA,3.73,5.42,13.35,34.8,42.69,106,154,379,988,1212,74.79,4371,3269,11.53,0.43,1.19,377,14,SANTA CRUZ
